eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.009999999776482582,0.004151422519609332,0.007094968982506543,0.010010970667004584,0.010001707807183265,0.010304877334833144,0.010051759026944638,0.010071295826137066,0.010009034316241741
0.11,0.0218271559715271,0.5514984691619873,0.19450327627062797,0.0551921541929245,0.021847680979967116,0.07055249857902526,0.02248103432059288,0.05761186774373055,0.021939980241656304
0.22,0.04700955603718757,0.5620623879432678,0.3590649545669556,0.16133225665092468,0.04722432963252068,0.2098373868227005,0.05452523036003113,0.1767146215438843,0.04851540831327438
0.33,0.0944651268362999,0.5710363898754119,0.44885090517997744,0.28069644844532016,0.09537465734481812,0.31016149258613585,0.11640152344703675,0.2940861428976059,0.09987558575868606
0.44,0.1656734582901001,0.5676825026988983,0.48867175512313843,0.372838649559021,0.16728436398506163,0.3872300573348999,0.18937247059345244,0.38172803139686584,0.17567169954776765
0.56,0.25436403703689575,0.5688186541557312,0.5198392405509948,0.439981245803833,0.2561838330984116,0.4478593020439148,0.2709938079357147,0.44600472068786623,0.2646952172756195
0.67,0.3282615073680878,0.5625910175323486,0.5327802209854126,0.4809250118732452,0.32980419812202455,0.4865983043670654,0.33908628273010255,0.4860474566459656,0.33658744382858274
0.78,0.38775095338821414,0.5480086413860321,0.5440624980926514,0.5087269450187684,0.388833443069458,0.5128666905403138,0.3946316975593567,0.5127338018894195,0.39372387561798095
0.89,0.4330921336174011,0.539862994670868,0.552798731470108,0.5285689587593079,0.4339372789382935,0.5320683968067169,0.4379556890487671,0.5319780164718628,0.4376352825164795
1.0,0.467069593667984,0.5497395901679992,0.559746520614624,0.5429286296367646,0.4677239233970642,0.545652802658081,0.47051657180786133,0.5460084265708923,0.4706218118667603
