eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.10000000149011612,0.3951074207305908,0.31009668221473696,0.1638448118209839,0.11256050063371659,0.5602317268371582,0.5062964400291443,0.49184021596908567,0.36115288305282595
0.11,0.2056449824810028,0.6848190566062927,0.6249112293243408,0.3582793296813965,0.24802842082977294,0.6044889577865601,0.5385380965232849,0.5978048529624939,0.5269048446655273
0.22,0.33982669687271116,0.733885056591034,0.7144526607513427,0.4995734981536865,0.38150660305023193,0.6210993418693542,0.5636075622558594,0.6373027933120727,0.5697543140411377
0.33,0.4638154369354248,0.7451524978637696,0.7347939304351807,0.5989165454864502,0.4900865774154663,0.6490540268898011,0.5826430272102356,0.665055101776123,0.5975206376075745
0.44,0.5575644161224366,0.750698542022705,0.7460375103950501,0.6625407423019409,0.5748159196853637,0.6847736490249634,0.6173394689559937,0.6950266014099121,0.6325582220077515
0.56,0.6278380935668946,0.7538193344116211,0.7542595699310303,0.7073522640228271,0.6382824486732482,0.7169516257286072,0.6581596920967102,0.7220673234939575,0.6666461032867431
0.67,0.6714516033172607,0.7582465538024903,0.76089481716156,0.7329625186920166,0.6776478180885315,0.7386778209686279,0.6896048448562622,0.7422920371055604,0.6940056386947632
0.78,0.701996647644043,0.7646404457092285,0.7659731437683105,0.7507888130187989,0.706928262424469,0.7544448612213135,0.7131587240219116,0.7566691522598267,0.7170032905578614
0.89,0.7239159557342529,0.7708834390640259,0.7708587392807007,0.7626790338516235,0.7273791201591492,0.7660151478767395,0.7325596811294556,0.7674829984664917,0.7343243485450744
1.0,0.7400560529708863,0.7777934725761414,0.7744399804115295,0.7720498678207397,0.7433801759719849,0.7741509939193726,0.7467803318023681,0.7754510343551636,0.7481332223892212
